CreditScore,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,Exited,France,Germany,Spain,GenderMale
-0.2462686567164179,0.4166666666666667,-0.75,-0.761480032314815,1,1,0.01173910298084434,1,1,0,0,0
-0.3283582089552239,0.3333333333333333,-1.0,-0.10490626134011223,1,1,0.12551224505586478,0,0,0,1,0
-1.1194029850746268,0.4166666666666667,0.75,0.48934648363294714,3,0,0.1396299859825274,1,1,0,0,0
0.35074626865671643,0.16666666666666666,-1.0,-0.761480032314815,2,0,-0.06471729820677216,0,1,0,0,0
1.4776119402985075,0.5,-0.75,0.2218061700238099,1,1,-0.21456086737829289,0,0,0,1,0
-0.05223880597014925,0.5833333333333334,0.75,0.1297139612410242,2,0,0.5037579100002783,1,0,0,1,1
1.2686567164179106,1.0833333333333333,0.5,-0.761480032314815,2,1,-0.9160956745557777,0,1,0,0,1
-2.0597014925373136,-0.6666666666666666,-0.25,0.13982769610285584,4,0,0.1946713783738081,1,0,1,0,0
-1.126865671641791,0.5833333333333334,-0.25,0.3513870269430097,2,1,-0.2566765566947884,0,1,0,0,1
0.23880597014925373,-0.8333333333333334,-0.75,0.29304369707555933,1,1,-0.28935158675174133,0,1,0,0,1
-0.9253731343283582,-0.5,0.25,0.0377469441629328,2,0,-0.20341071932008714,0,1,0,0,1
-1.1567164179104477,-1.0833333333333333,-0.5,-0.761480032314815,2,0,-0.2419436884591592,0,0,0,1,1
-1.3134328358208955,-0.25,1.25,-0.761480032314815,2,0,-0.7514568299827808,0,1,0,0,0
-0.7686567164179104,-1.0,0.0,-0.761480032314815,2,0,0.9215106650568533,0,1,0,0,0
-0.12686567164179105,-0.16666666666666666,0.5,-0.761480032314815,2,1,-0.34803952945098593,0,0,0,1,0
-0.26865671641791045,0.6666666666666666,-0.5,0.35983503838481073,2,1,-0.3645498838695644,0,0,1,0,1
0.007462686567164179,1.75,-1.0,0.27736731402842774,1,0,-0.9665614223345235,1,0,1,0,1
-0.7686567164179104,-1.0833333333333333,1.0,-0.761480032314815,2,1,-0.8719470768938357,0,0,0,1,0
-0.48507462686567165,0.6666666666666666,0.25,-0.761480032314815,1,0,0.5945034177197982,0,0,0,1,1
0.5522388059701493,-1.0833333333333333,0.25,-0.761480032314815,2,1,-0.4621574355431932,0,1,0,0,0
0.5970149253731343,0.3333333333333333,0.75,-0.761480032314815,2,1,0.718518449817181,0,1,0,0,1
-0.11940298507462686,-0.4166666666666667,0.75,-0.761480032314815,2,0,0.3899080294721398,0,0,0,1,0
-1.0597014925373134,0.08333333333333333,-0.25,-0.761480032314815,1,0,0.1902667944455082,1,0,0,1,0
0.12686567164179105,0.75,-0.5,-0.761480032314815,2,1,-0.9321045355602052,0,1,0,0,1
